Symbol	Description
AMCKOA	Amcor Limited
AMCKOB	Amcor Limited
AMCKOG	Amcor Plc
AMCKOP	Amcor Limited
AMCKOS	Amcor Limited
AMD	Arrow Minerals Ltd
AME	Austmet Resources Ltd
AMH	AMCIL Ltd
AMI	Aurelia Metals Limited
AML	AMRAD Corporation Ltd
AMM	Amcom Telecommunications Ltd
AMN	Agrimin Limited
AMO	Ambertech Ltd
AMP	AMP Ltd
AMPKOA	Amp Limited
AMPKOC	Amp Limited
AMPKOD	Amp Limited
AMPKOG	Amp Limited
AMPKOR	Amp Limited
AMPKOS	Amp Limited
AMPKOT	Amp Limited
AMPKOV	Amp Limited
AMPLOA	Amp Limited
AMPPB	Amp Limited
AMS	Allied Mining & Processing Nl
AMT	Advanced Surgical Design & Manufacture Ltd
AMX	Ampella Mining Ltd
AN1	Anagenics Limited
AN1OA	AN1OA
AND	Andean Resources Ltd
ANG	Austin Engineering Ltd
ANL	Anaconda Nickel Nl
ANLOA	ANLOA
ANN	Ansell Ltd
ANNKOA	Ansell Limited
ANNKOP	Ansell Limited
ANNKOQ	Ansell Limited
ANO	Advanced Nanotechnology Ltd
ANP	Antisense Therapeutics Ltd
ANR	Anatara Lifesciences Ltd
ANW	Ausnico Limited
ANX	Anadis Ltd
ANZ	Australia & NZ Banking Group Ltd
ANZKOA	Australia And New Zealand Banking Group Limited
ANZKOD	Australia And New Zealand Banking Group Limited
ANZKOE	Australia And New Zealand Banking Group Limited
ANZKOI	Australia And New Zealand Banking Group Limited
ANZKOP	Australia And New Zealand Banking Group Limited
ANZKOQ	Australia And New Zealand Banking Group Limited
ANZKOR	Australia And New Zealand Banking Group Limited
ANZKOS	Australia And New Zealand Banking Group Limited
ANZKOX	Australia And New Zealand Banking Group Limited
ANZMOB	Australia And New Zealand Banking Group Limited
ANZMOQ	Australia And New Zealand Banking Group Limited
ANZMOR	Australia And New Zealand Banking Group Limited
ANZMOS	Australia And New Zealand Banking Group Limited
ANZMOT	Australia And New Zealand Banking Group Limited
ANZMOU	ANZMOU
ANZPF	Australia And New Zealand Banking Group Limited
ANZPG	Australia And New Zealand Banking Group Limited
ANZPH	Australia And New Zealand Banking Group Limited
ANZPI	ANZPI
ANZPJ	ANZPJ
ANZR	Australia And New Zealand Banking Group Limited
AO1	Assetowl Limited
AOA	
AOF	AMP Office Trust
AON	Apollo Minerals Ltd
AOU	Auroch Minerals Nl
APA	Australian Pipeline Trust
APAKOA	Apa Group
APAKOE	APAKOE
APAKOQ	Apa Group
APAKOR	Apa Group
APC	Australian Potash Limited
APE	AP Eagers Holdings Ltd
APG	Austpac Gold Resources NL
APM	Australian Institute of Prop Managmnt
APS	Allup Silica Limited
APW	Aims Property Securities Fund
APX	Appen Limited
APXKOA	Appen Limited
APXKOE	Appen Limited
APZ	Aspen Group
AQC	Australian Pacific Coal Limited
AQD	AusQuest Ltd
AQI	Alicanto Minerals Limited
AQLT	AQLT
AQN	Aquirian Limited
AQS	Aquis Entertainment Limited
AQX	Alice Queen Limited
AQXO	Alice Queen Limited
AQZ	Alliance Aviation Services Limited
AR1	Arrowhead Resources Limited
AR3	Australian Rare Earths Limited
AR9	Archtis Limited
AR9O	AR9O
ARA	Ariadne Australia Ltd
ARB	Arb Corporation Limited.
ARBKOB	Arb Corporation Limited.
ARBKOP	ARBKOP
ARBKOR	ARBKOR
ARC	Amalg Resources Nl
ARD	Argent Minerials Lts
ARE	Argonaut Resources NL
ARF	Arena Reit
ARG	Argo Investments Ltd
ARL	Austrim
ARN	Arnotts Ltd t/over Campbell Soup Co
ARNO	ARNO
ARO	Astro Diamond Mines NL
ARR	Arasor International Ltd
ART	Amp Shopping Centre ord unit
ARU	Arafura Resources NL
ARV	Artemis Resources Ltd
ARX	Austindo Resources Corporation NL
AS1	Angel Seafood Holdings Ltd
AS2	Askari Metals Limited
AS2O	AS2O
ASB	Austal Ltd
ASG	Autosports Group Limited.
ASH	Ashley Services Group Limited
ASIA	Betashares Asia Technology Tigers
ASM	Australian Strategic Materials Limited
ASN	Anson Resources Limited
ASNOC	ASNOC
ASNOD	ASNOD
ASO	Australian Silicon Ltd
ASP	Aspermont Ltd
ASQ	Asset Loans Ltd
ASR	Australian Rural Group Ltd
ASROB	Asra Minerals Limited
ASW	Advanced Share Registry Ltd
ASX	Australian Stock Exchange Ltd
