Symbol	Description
FXH23	Euro Stoxx 50 {Mar 23}
FXH24	Euro Stoxx 50 {Mar 24}
FXH25	Euro Stoxx 50 {Mar 25}
FXM23	Euro Stoxx 50 {Jun 23}
FXM24	Euro Stoxx 50 {Jun 24}
FXM25	Euro Stoxx 50 {Jun 25}
FXU22	Euro Stoxx 50 {Sep 22}
FXU23	Euro Stoxx 50 {Sep 23}
FXU24	Euro Stoxx 50 {Sep 24}
FXZ22	Euro Stoxx 50 {Dec 22}
FXZ23	Euro Stoxx 50 {Dec 23}
FXZ24	Euro Stoxx 50 {Dec 24}
FY.C	Stoxx 600 Continuation
FYH23	Stoxx 600 {Mar 23}
FYH24	Stoxx 600 {Mar 24}
FYH25	Stoxx 600 {Mar 25}
FYM23	Stoxx 600 {Jun 23}
FYM24	Stoxx 600 {Jun 24}
FYM25	Stoxx 600 {Jun 25}
FYU22	Stoxx 600 {Sep 22}
FYU23	Stoxx 600 {Sep 23}
FYU24	Stoxx 600 {Sep 24}
FYZ22	Stoxx 600 {Dec 22}
FYZ23	Stoxx 600 {Dec 23}
FYZ24	Stoxx 600 {Dec 24}
GG.C	Euro Bund Continuation
GGH23	Euro Bund {Mar 23}
GGU22	Euro Bund {Sep 22}
GGZ22	Euro Bund {Dec 22}
GT.C	Euro OAT Medium-Term Continuation
GTH23	Euro OAT Medium-Term {Mar 23}
GTU22	Euro OAT Medium-Term {Sep 22}
GTZ22	Euro OAT Medium-Term {Dec 22}
GX.C	Euro Buxl Continuation
GXH23	Euro Buxl {Mar 23}
GXU22	Euro Buxl {Sep 22}
GXZ22	Euro Buxl {Dec 22}
HF.C	Euro Schatz Continuation
HFH23	Euro Schatz {Mar 23}
HFU22	Euro Schatz {Sep 22}
HFZ22	Euro Schatz {Dec 22}
HR.C	Euro Bobl Continuation
HRH23	Euro Bobl {Mar 23}
HRU22	Euro Bobl {Sep 22}
HRZ22	Euro Bobl {Dec 22}
IA.C	Euro BTP Short-Term Continuation
IAH23	Euro BTP Short-Term {Mar 23}
IAU22	Euro BTP Short-Term {Sep 22}
IAZ22	Euro BTP Short-Term {Dec 22}
IEH23	Euro Stoxx Utilities {Mar 23}
IEU22	Euro Stoxx Utilities {Sep 22}
IEZ22	Euro Stoxx Utilities {Dec 22}
II.C	Euro BTP Long-Term Continuation
IIH23	Euro BTP Long-Term {Mar 23}
IIU22	Euro BTP Long-Term {Sep 22}
IIZ22	Euro BTP Long-Term {Dec 22}
IZ.C	Euro Bono Long-Term Continuation
IZH23	Euro Bono Long-Term {Mar 23}
IZU22	Euro Bono Long-Term {Sep 22}
IZZ22	Euro Bono Long-Term {Dec 22}
J3.C	Stoxx Euro600 Travel Continuation
J3H23	Stoxx Euro600 Travel {Mar 23}
J3U22	Stoxx Euro600 Travel {Sep 22}
J3Z22	Stoxx Euro600 Travel {Dec 22}
J4.C	Stoxx Euro600 Utilit Continuation
J4H23	Stoxx Euro600 Utilit {Mar 23}
J4U22	Stoxx Euro600 Utilit {Sep 22}
J4Z22	Stoxx Euro600 Utilit {Dec 22}
J5.C	Stoxx Euro600 Telcom Continuation
J5H23	Stoxx Euro600 Telcom {Mar 23}
J5U22	Stoxx Euro600 Telcom {Sep 22}
J5Z22	Stoxx Euro600 Telcom {Dec 22}
JD.C	MSCI Europe Index Continuation
JDH23	MSCI Europe Index {Mar 23}
JDH24	MSCI Europe Index {Mar 24}
JDH25	MSCI Europe Index {Mar 25}
JDM23	MSCI Europe Index {Jun 23}
JDM24	MSCI Europe Index {Jun 24}
JDM25	MSCI Europe Index {Jun 25}
JDU22	MSCI Europe Index {Sep 22}
JDU23	MSCI Europe Index {Sep 23}
JDU24	MSCI Europe Index {Sep 24}
JDZ22	MSCI Europe Index {Dec 22}
JDZ23	MSCI Europe Index {Dec 23}
JDZ24	MSCI Europe Index {Dec 24}
JT.C	Euro BTP Medium-Term Continuation
JTH23	Euro BTP Medium-Term {Mar 23}
JTU22	Euro BTP Medium-Term {Sep 22}
JTZ22	Euro BTP Medium-Term {Dec 22}
L9.C	Euro Stoxx Telcom Continuation
L9H23	Euro Stoxx Telcom {Mar 23}
L9U22	Euro Stoxx Telcom {Sep 22}
L9Z22	Euro Stoxx Telcom {Dec 22}
LI.C	DJ-UBS Agriculture Continuation
LIH23	DJ-UBS Agriculture {Mar 23}
LIM23	DJ-UBS Agriculture {Jun 23}
LIM24	DJ-UBS Agriculture {Jun 24}
LIM25	DJ-UBS Agriculture {Jun 25}
LIN22	DJ-UBS Agriculture {Jul 22}
LIQ22	DJ-UBS Agriculture {Aug 22}
LIU22	DJ-UBS Agriculture {Sep 22}
LIV22	DJ-UBS Agriculture {Oct 22}
LIZ22	DJ-UBS Agriculture {Dec 22}
LIZ23	DJ-UBS Agriculture {Dec 23}
LIZ24	DJ-UBS Agriculture {Dec 24}
LIZ25	DJ-UBS Agriculture {Dec 25}
LIZ26	DJ-UBS Agriculture {Dec 26}
LJ.C	DJ-UBS Commodity Continuation
LJH23	DJ-UBS Commodity {Mar 23}
LJM23	DJ-UBS Commodity {Jun 23}
LJM24	DJ-UBS Commodity {Jun 24}
LJM25	DJ-UBS Commodity {Jun 25}
LJN22	DJ-UBS Commodity {Jul 22}
LJQ22	DJ-UBS Commodity {Aug 22}
LJU22	DJ-UBS Commodity {Sep 22}
LJV22	DJ-UBS Commodity {Oct 22}
LJZ22	DJ-UBS Commodity {Dec 22}
LJZ23	DJ-UBS Commodity {Dec 23}
LJZ24	DJ-UBS Commodity {Dec 24}
LJZ25	DJ-UBS Commodity {Dec 25}
LJZ26	DJ-UBS Commodity {Dec 26}
LK.C	DJ-UBS Energy Continuation
LKH23	DJ-UBS Energy {Mar 23}
LKM23	DJ-UBS Energy {Jun 23}
LKM24	DJ-UBS Energy {Jun 24}
LKM25	DJ-UBS Energy {Jun 25}
LKN22	DJ-UBS Energy {Jul 22}
LKQ22	DJ-UBS Energy {Aug 22}
LKU22	DJ-UBS Energy {Sep 22}
LKV22	DJ-UBS Energy {Oct 22}
LKZ22	DJ-UBS Energy {Dec 22}
LKZ23	DJ-UBS Energy {Dec 23}
LKZ24	DJ-UBS Energy {Dec 24}
LKZ25	DJ-UBS Energy {Dec 25}
LKZ26	DJ-UBS Energy {Dec 26}
LZ.C	DJ-UBS Industrial Continuation
LZH23	DJ-UBS Industrial {Mar 23}
LZM23	DJ-UBS Industrial {Jun 23}
LZM24	DJ-UBS Industrial {Jun 24}
LZM25	DJ-UBS Industrial {Jun 25}
LZN22	DJ-UBS Industrial {Jul 22}
LZQ22	DJ-UBS Industrial {Aug 22}
LZU22	DJ-UBS Industrial {Sep 22}
LZV22	DJ-UBS Industrial {Oct 22}
LZZ22	DJ-UBS Industrial {Dec 22}
LZZ23	DJ-UBS Industrial {Dec 23}
LZZ24	DJ-UBS Industrial {Dec 24}
LZZ25	DJ-UBS Industrial {Dec 25}
LZZ26	DJ-UBS Industrial {Dec 26}
M4.C	Stoxx Euro600 RealEs Continuation
M4H23	Stoxx Euro600 RealEs {Mar 23}
M4U22	Stoxx Euro600 RealEs {Sep 22}
M4Z22	Stoxx Euro600 RealEs {Dec 22}
NA.C	MSCI China Index Continuation
NAU22	MSCI China Index {Sep 22}
OA.C	Stoxx Basic Resource Continuation
OAH23	Stoxx Basic Resource {Mar 23}
OAU22	Stoxx Basic Resource {Sep 22}
OAZ22	Stoxx Basic Resource {Dec 22}
PE.C	Euro Stoxx Index Continuation
PEH23	Euro Stoxx Index {Mar 23}
PEU22	Euro Stoxx Index {Sep 22}
PEZ22	Euro Stoxx Index {Dec 22}
PF.C	Euro Stoxx Large Continuation
PFH23	Euro Stoxx Large {Mar 23}
PFU22	Euro Stoxx Large {Sep 22}
PFZ22	Euro Stoxx Large {Dec 22}
PG.C	Euro Stoxx Mid Continuation
PGH23	Euro Stoxx Mid {Mar 23}
PGU22	Euro Stoxx Mid {Sep 22}
PGZ22	Euro Stoxx Mid {Dec 22}
PI.C	Euro Stoxx Small Continuation
PIH23	Euro Stoxx Small {Mar 23}
PIU22	Euro Stoxx Small {Sep 22}
PIZ22	Euro Stoxx Small {Dec 22}
PM.C	DJ-UBS Metals Continuation
PMH23	DJ-UBS Metals {Mar 23}
PMM23	DJ-UBS Metals {Jun 23}
PMM24	DJ-UBS Metals {Jun 24}
PMM25	DJ-UBS Metals {Jun 25}
PMN22	DJ-UBS Metals {Jul 22}
PMQ22	DJ-UBS Metals {Aug 22}
PMU22	DJ-UBS Metals {Sep 22}
PMV22	DJ-UBS Metals {Oct 22}
PMZ22	DJ-UBS Metals {Dec 22}
PMZ23	DJ-UBS Metals {Dec 23}
PMZ24	DJ-UBS Metals {Dec 24}
PMZ25	DJ-UBS Metals {Dec 25}
PMZ26	DJ-UBS Metals {Dec 26}
PO.C	Stoxx Eur Large 200 Continuation
POH23	Stoxx Eur Large 200 {Mar 23}
POU22	Stoxx Eur Large 200 {Sep 22}
POZ22	Stoxx Eur Large 200 {Dec 22}
PT.C	Stoxx Eur Small 200 Continuation
PTH23	Stoxx Eur Small 200 {Mar 23}
PTU22	Stoxx Eur Small 200 {Sep 22}
PTZ22	Stoxx Eur Small 200 {Dec 22}
PU.C	DJ-UBS Softs Continuation
PUH23	DJ-UBS Softs {Mar 23}
PUM23	DJ-UBS Softs {Jun 23}
PUM24	DJ-UBS Softs {Jun 24}
PUM25	DJ-UBS Softs {Jun 25}
PUN22	DJ-UBS Softs {Jul 22}
PUQ22	DJ-UBS Softs {Aug 22}
PUU22	DJ-UBS Softs {Sep 22}
PUV22	DJ-UBS Softs {Oct 22}
PUZ22	DJ-UBS Softs {Dec 22}
PUZ23	DJ-UBS Softs {Dec 23}
PUZ24	DJ-UBS Softs {Dec 24}
PUZ25	DJ-UBS Softs {Dec 25}
PUZ26	DJ-UBS Softs {Dec 26}
Q5.C	Stoxx Real Estate Continuation
Q5H23	Stoxx Real Estate {Mar 23}
Q5U22	Stoxx Real Estate {Sep 22}
Q5Z22	Stoxx Real Estate {Dec 22}
QJ.C	DJ-UBS Petroleum Continuation
QJH23	DJ-UBS Petroleum {Mar 23}
QJM23	DJ-UBS Petroleum {Jun 23}
QJM24	DJ-UBS Petroleum {Jun 24}
QJM25	DJ-UBS Petroleum {Jun 25}
QJN22	DJ-UBS Petroleum {Jul 22}
QJQ22	DJ-UBS Petroleum {Aug 22}
QJU22	DJ-UBS Petroleum {Sep 22}
QJV22	DJ-UBS Petroleum {Oct 22}
