,x,y,area
KO,1,16688,16688
MRK,2,16688,33376
FL,3,16688,50064
CNP,4,16688,66752
BP,5,16688,83440
IBM,6,16688,100128
BA,7,16688,116816
DTE,8,16688,133504
GE,9,16688,150192
XOM,10,16688,166880
DIS,11,16688,183568
PG,12,16688,200256
CAT,13,16688,216944
CVX,14,16688,233632
MSI,15,16688,250320
MMM,16,16688,267008
JNJ,17,16688,283696
XRX,18,16688,300384
HON,19,16688,317072
HPQ,20,16688,333760
ED,21,16688,350448
IP,22,16688,367136
KR,23,16688,383824
GT,24,16688,400512
MRO,25,16688,417200
GD,26,16688,433888
MCD,27,15553,419931
WTAN.L,28,15279,427812
MYI.L,29,15279,443091
THRG.L,30,15279,458370
TMPL.L,31,15279,473649
SCIN.L,32,15279,488928
BUT.L,33,15279,504207
CTY.L,34,15279,519486
EDIN.L,35,15279,534765
BNKR.L,36,15017,540612
TRY.L,37,15017,555629
SMT.L,38,15017,570646
MRCH.L,39,15017,585663
MNP.L,40,15017,600680
BKIXF,41,14920,611720
JCH.L,42,14756,619752
JFJ.L,43,14756,634508
HSL.L,44,14756,649264
ATST.L,45,14756,664020
AJIT.L,46,14756,678776
FGT.L,47,14756,693532
JAM.L,48,14755,708240
JETG.L,49,14755,722995
JMO.NZ,50,14663,733150
JFJ.NZ,51,14663,747813
NAIT.L,52,14056,730912
EWI.L,53,14039,744067
WFC,54,14039,758106
PBI,55,14039,772145
ETN,56,14039,786184
BMY,57,14039,800223
EMR,58,14039,814262
MRC.L,59,14039,828301
HAL,60,14039,842340
LWDB.L,61,14039,856379
UIS,62,14039,870418
SJW,63,14039,884457
PCG,64,14039,898496
F,65,14039,912535
DE,66,14039,926574
ETR,67,14039,940613
PFE,68,14039,954652
PEP,69,14039,968691
TXN,70,14039,982730
WMT,71,13978,992438
HUBB,72,13939,1003608
JMF.L,73,13931,1016963
GHE.L,74,13931,1030894
CGT.L,75,13930,1044750
BRSC.L,76,13914,1057464
NAS.L,77,13887,1069299
SWX,78,13850,1080300
BMI,79,13850,1094150
BRN,80,13850,1108000
KMT,81,13850,1121850
CVS,82,13850,1135700
VLGEA,83,13850,1149550
PNM,84,13850,1163400
NWN,85,13850,1177250
TGT,86,13850,1191100
SXI,87,13850,1204950
LZB,88,13850,1218800
FUL,89,13850,1232650
K,90,13850,1246500
MSB,91,13850,1260350
CPB,92,13850,1274200
OGE,93,13850,1288050
WHR,94,13850,1301900
CMI,95,13850,1315750
MKC,96,13850,1329600
PNW,97,13850,1343450
IHT,98,13850,1357300
IDA,99,13850,1371150
VMC,100,13850,1385000
CLF,101,13850,1398850
SIF,102,13850,1412700
UVV,103,13850,1426550
CNA,104,13850,1440400
CWT,105,13850,1454250
CSL,106,13850,1468100
COKE,107,13850,1481950
ECL,108,13850,1495800
MMC,109,13850,1509650
CMS,110,13850,1523500
CRS,111,13850,1537350
GHC,112,13850,1551200
NBR,113,13850,1565050
NI,114,13850,1578900
XEL,115,13850,1592750
ES,116,13850,1606600
UGI,117,13850,1620450
OLN,118,13850,1634300
HRB,119,13850,1648150
TKR,120,13850,1662000
HE,121,13850,1675850
TER,122,13850,1689700
SCL,123,13850,1703550
EGP,124,13850,1717400
BDL,125,13850,1731250
SNA,126,13850,1745100
NEE,127,13850,1758950
PKI,128,13850,1772800
SGC,129,13850,1786650
MSEX,130,13850,1800500
OTTR,131,13850,1814350
STC,132,13850,1828200
PKOH,133,13850,1842050
VMI,134,13850,1855900
GWW,135,13850,1869750
SCX,136,13850,1883600
MTZ,137,13850,1897450
PW,138,13850,1911300
TXT,139,13850,1925150
WGO,140,13850,1939000
DIOD,141,13850,1952850
MDU,142,13850,1966700
GCO,143,13850,1980550
CLX,144,13850,1994400
MSA,145,13849,2008105
TNC,146,13849,2021954
BKH,147,13849,2035803
SEB,148,13849,2049652
CVR,149,13848,2063352
ITW,150,13836,2075400
COHR,151,13803,2084253
EXC,152,13801,2097752
CL,153,13801,2111553
MDT,154,13801,2125354
GFF,155,13800,2139000
TPC,156,13800,2152800
SKY,157,13800,2166600
PNR,158,13800,2180400
DCO,159,13800,2194200
RGR,160,13800,2208000
GTY,161,13800,2221800
BF-A,162,13800,2235600
WY,163,13800,2249400
BRT,164,13800,2263200
FRT,165,13800,2277000
PHI,166,13800,2290800
WDFC,167,13800,2304600
MATX,168,13800,2318400
CHE,169,13800,2332200
NYT,170,13800,2346000
SVT,171,13800,2359800
USB,172,13800,2373600
PEI,173,13800,2387400
TRN,174,13800,2401200
NFG,175,13800,2415000
BK,176,13800,2428800
EIX,177,13800,2442600
SYY,178,13797,2455866
SYNL,179,13786,2467694
WRB,180,13677,2461860
HCLC,181,13581,2458161
IFF,182,13378,2434796
TAP,183,13252,2425116
OII,184,13152,2419968
TRV,185,13140,2430900
PNC,186,13140,2444040
NWLI,187,13140,2457180
ZGCO,188,13066,2456408
VULC,189,13056,2467584
MAT,190,12989,2467910
BMS,191,12975,2478225
HELE,192,12974,2491008
C,193,12847,2479471
LMT,194,12847,2492318
SVU,195,12815,2498925
EGN,196,12813,2511348
CHCR,197,12770,2515690
NC,198,12730,2520540
WGL,199,12670,2521330
GXP,200,12654,2530800
TRNS,201,12608,2534208
LNCE,202,12602,2545604
FDX,203,12518,2541154
TSRI,204,12508,2551632
HAN.L,205,12495,2561475
SRSK,206,12479,2570674
MAXX,207,12408,2568456
RIII.L,208,12407,2580656
WDC,209,12374,2586166
DHR,210,12331,2589510
SPB,211,12329,2601419
WSCI,212,12263,2599756
CMS-PB,213,12134,2584542
MTR,214,12125,2594750
HFEL.L,215,12125,2606875
HANA.L,216,12082,2609712
UNP,217,12069,2618973
PEG,218,12069,2631042
LXU,219,12069,2643111
R,220,12069,2655180
BIO,221,12029,2658409
MDC,222,12020,2668440
IFP.TO,223,12019,2680237
WABC,224,12015,2691360
CMC,225,12015,2703375
NJR,226,12015,2715390
NDSN,227,12015,2727405
GRC,228,12015,2739420
CW,229,12015,2751435
CBSH,230,12015,2763450
TSN,231,12015,2775465
CAJ,232,12015,2787480
CMA,233,12015,2799495
ESCA,234,12015,2811510
SCI,235,12015,2823525
BH,236,12015,2835540
HST,237,12015,2847555
MTRN,238,12015,2859570
RHI,239,12015,2871585
EBF,240,12015,2883600
HAS,241,12015,2895615
BOH,242,12015,2907630
SXT,243,12015,2919645
COHU,244,12015,2931660
NRT,245,12015,2943675
HSC,246,12015,2955690
LEE,247,12015,2967705
FHN,248,12015,2979720
JOB,249,12015,2991735
UFCS,250,12015,3003750
TMO,251,12015,3015765
NX,252,12015,3027780
FLO,253,12015,3039795
FSCR,254,12015,3051810
WEYS,255,12015,3063825
LGL,256,12015,3075840
SIGI,257,12015,3087855
CHD,258,12015,3099870
RLI,259,12015,3111885
CCK,260,12015,3123900
LANC,261,12015,3135915
GGG,262,12015,3147930
OMC,263,12015,3159945
DLX,264,12015,3171960
NEU,265,12015,3183975
GPS,266,12015,3195990
GIS,267,12015,3208005
MCI,268,12015,3220020
PCH,269,12015,3232035
ORI,270,12015,3244050
TTC,271,12015,3256065
GHM,272,12015,3268080
FRD,273,12015,3280095
FLXS,274,12015,3292110
BSET,275,12015,3304125
NTRS,276,12015,3316140
TRMK,277,12015,3328155
BRID,278,12015,3340170
IPG,279,12015,3352185
GFI,280,12015,3364200
HNI,281,12015,3376215
BF-B,282,12015,3388230
FARM,283,12015,3400245
UBP,284,12015,3412260
BCV,285,12015,3424275
RF,286,12015,3436290
WRE,287,12015,3448305
CPK,288,12015,3460320
DOV,289,12015,3472335
CINF,290,12015,3484350
UMBF,291,12015,3496365
HL,292,12015,3508380
LOW,293,12015,3520395
HES,294,12015,3532410
HSY,295,12015,3544425
L,296,12015,3556440
THC,297,12015,3568455
PH,298,12015,3580470
CMCSA,299,12015,3592485
SWN,300,12015,3604500
LNC,301,12015,3616515
HEI,302,12015,3628530
CAL,303,12015,3640545
JPM,304,12015,3652560
HXL,305,12015,3664575
LPX,306,12015,3676590
INTC,307,12015,3688605
LEN,308,12015,3700620
TM,309,12015,3712635
STT,310,12015,3724650
VIRC,311,12015,3736665
EML,312,12015,3748680
VFC,313,12015,3760695
TRC,314,12015,3772710
HRL,315,12015,3784725
NEM,316,12015,3796740
CUZ,317,12015,3808755
SYK,318,12015,3820770
HMC,319,12015,3832785
PPL,320,12015,3844800
KMB,321,12015,3856815
GLT,322,12015,3868830
SPXC,323,12015,3880845
SOR,324,12015,3892860
KEX,325,12015,3904875
SMTC,326,12015,3916890
CAG,327,12015,3928905
DUK,328,12015,3940920
NUE,329,12015,3952935
MUR,330,12015,3964950
MCS,331,12015,3976965
PVH,332,12015,3988980
PKE,333,12015,4000995
KAMN,334,12015,4013010
D,335,12015,4025025
DDS,336,12015,4037040
PGR,337,12015,4049055
TWIN,338,12015,4061070
EQT,339,12015,4073085
DINO,340,12015,4085100
KOSS,341,12015,4097115
SHW,342,12015,4109130
INTG,343,12015,4121145
SU,344,12015,4133160
WEC,345,12015,4145175
CR,346,12015,4157190
CDE,347,12015,4169205
CACI,348,12015,4181220
EFX,349,12015,4193235
FLS,350,12015,4205250
MGEE,351,12015,4217265
DCI,352,12015,4229280
RAND,353,12015,4241295
GPC,354,12015,4253310
FELE,355,12015,4265325
KEQU,356,12015,4277340
TY,357,12015,4289355
HVT,358,12015,4301370
ESP,359,12015,4313385
CTS,360,12015,4325400
USEG,361,12015,4337415
EDUC,362,12015,4349430
CMTL,363,12015,4361445
CSWC,364,12015,4373460
ROG,365,12015,4385475
SIEB,366,12015,4397490
MAS,367,12015,4409505
FSS,368,12015,4421520
MOG-B,369,12015,4433535
CTO,370,12015,4445550
CET,371,12015,4457565
FMC,372,12015,4469580
SENEB,373,12015,4481595
FRTN,374,12015,4493610
SON,375,12015,4505625
WST,376,12015,4517640
VHI,377,12015,4529655
SJI,378,12015,4541670
B,379,12015,4553685
TPL,380,12015,4565700
SWK,381,12015,4577715
NPK,382,12015,4589730
HBAN,383,12015,4601745
KNBWY,384,12015,4613760
PPG,385,12015,4625775
JHS,386,12015,4637790
PCAR,387,12015,4649805
MTB,388,12015,4661820
POWL,389,12015,4673835
SSY,390,12015,4685850
JWN,391,12015,4697865
UG,392,12015,4709880
VSH,393,12015,4721895
BPOP,394,12015,4733910
USLM,395,12015,4745925
UEPEN,396,12015,4757940
PATK,397,12015,4769955
PNRG,398,12015,4781970
PCRFY,399,12015,4793985
ORBT,400,12015,4806000
PDNLA,401,12015,4818015
VNO,402,12015,4830030
KWR,403,12015,4842045
KBAL,404,12015,4854060
PHG,405,12015,4866075
CFR,406,12015,4878090
SFE,407,12015,4890105
CRD-B,408,12015,4902120
TNLX,409,12015,4914135
OMI,410,12015,4926150
UEPEO,411,12015,4938165
NOBH,412,12015,4950180
WOR,413,12015,4962195
IMO,414,12015,4974210
TGNA,415,12015,4986225
UDR,416,12015,4998240
TYL,417,12015,5010255
ZION,418,12015,5022270
ROL,419,12015,5034285
SBBG,420,12015,5046300
SUP,421,12015,5058315
TDW,422,12015,5070330
SMP,423,12015,5082345
WSO-B,424,12015,5094360
TFX,425,12015,5106375
NWL,426,12015,5118390
JHI,427,12015,5130405
RPM,428,12015,5142420
HWKN,429,12015,5154435
MITSY,430,12015,5166450
TR,431,12015,5178465
OXM,432,12015,5190480
WWW,433,12015,5202495
TEN,434,12015,5214510
BHP,435,12015,5226525
FITB,436,12015,5238540
LEG,437,12015,5250555
PHM,438,12015,5262570
BRK-A,439,12015,5274585
MARPS,440,12015,5286600
KELYA,441,12015,5298615
NL,442,12015,5310630
MYE,443,12015,5322645
ANDR,444,12015,5334660
WMK,445,12015,5346675
UFI,446,12015,5358690
TKOMY,447,12015,5370705
TEX,448,12014,5382272
NSANY,449,12010,5392490
CTG,450,12010,5404500
UL,451,12010,5416510
GSK,452,12007,5427164
JACO,453,11998,5435094
WNMLA,454,11996,5446184
UEPEP,455,11995,5457725
WEN,456,11981,5463336
MUX,457,11980,5474860
ENZ,458,11954,5474932
FEIM,459,11950,5485050
RRC,460,11949,5496540
HURC,461,11901,5486361
OKE,462,11876,5486712
TISI,463,11872,5496736
KLAC,464,11871,5508144
HP,465,11866,5517690
SJT,466,11859,5526294
PBT,467,11859,5538153
CSX,468,11852,5546736
CBT,469,11851,5558119
TAYD,470,11851,5569970
PSA,471,11842,5577582
HAIPF,472,11836,5586592
CECE,473,11832,5596536
NKE,474,11832,5608368
TY-P,475,11831,5619725
CIA,476,11830,5631080
BXMT,477,11812,5634324
BRO,478,11781,5631318
CTTC,479,11778,5641662
RLBY,480,11765,5647200
KGC,481,11757,5655117
FUJIY,482,11754,5665428
SEIC,483,11751,5675733
VIP.L,484,11734,5679256
KCLI,485,11721,5684685
MXF,486,11701,5686686
RGLD,487,11698,5696926
ELSE,488,11698,5708624
FSTR,489,11698,5720322
ICGT.L,490,11691,5728590
UHS,491,11677,5733407
ERIC,492,11644,5728848
BGFD.L,493,11625,5731125
HD,494,11624,5742256
GPHEF,495,11618,5750910
PCG-PC,496,11606,5756576
BAX,497,11599,5764703
FONR,498,11597,5775306
CBRL,499,11592,5784408
UUU,500,11587,5793500
IDCC,501,11587,5805087
TDS,502,11564,5805128
GNTX,503,11559,5814177
NSSC,504,11555,5823720
OXY,505,11553,5834265
COP,506,11553,5845818
NOC,507,11553,5857371
SLB,508,11553,5868924
SO,509,11553,5880477
WMB,510,11553,5892030
HUM,511,11553,5903583
DBD,512,11553,5915136
GLW,513,11553,5926689
BC,514,11553,5938242
VLO,515,11551,5948765
CSPI,516,11533,5951028
TEVA,517,11521,5956357
ELRNF,518,11490,5951820
CI,519,11490,5963310
TTDKY,520,11489,5974280
SSL,521,11472,5976912
NSC,522,11446,5974812
TARO,523,11372,5947556
MOD,524,11367,5956308
TRP,525,11367,5967675
OPY,526,11356,5973256
MEI,527,11346,5979342
VSEC,528,11344,5989632
WAFD,529,11332,5994628
BCE,530,11327,6003310
DLPX,531,11317,6009327
PAR,532,11314,6019048
VBF,533,11302,6023966
SBR,534,11293,6030462
COO,535,11280,6034800
IWKS,536,11267,6039112
POLXF,537,11243,6037491
CVBF,538,11229,6041202
TILE,539,11221,6048119
TRST,540,11217,6057180
OLP,541,11213,6066233
VALU,542,11203,6072026
GIGA,543,11173,6066939
KTCC,544,11172,6077568
PFIN,545,11170,6087650
RJF,546,11165,6096090
WSM,547,11161,6105067
SF,548,11153,6111844
WGNR,549,11152,6122448
DXR,550,11148,6131400
CAH,551,11141,6138691
SRCE,552,11135,6146520
CTAS,553,11130,6154890
PAYX,554,11125,6163250
HOV,555,11117,6169935
RCMT,556,11113,6178828
TCCO,557,11110,6188270
BEN,558,11105,6196590
SLM,559,11105,6207695
EAT.L,560,11103,6217680
CASY,561,11086,6219246
NSEC,562,11082,6228084
RELL,563,11080,6238040
PCG-PI,564,11078,6247992
JBHT,565,11063,6250595
VZ,566,11063,6261658
HCSG,567,11058,6269886
DYNT,568,11056,6279808
BELFA,569,11053,6289157
CVM,570,11051,6299070
RDI,571,11048,6308408
CAMP,572,11048,6319456
FFBC,573,11042,6327066
CP,574,11035,6334090
EAT,575,11030,6342250
THO,576,11028,6352128
UNF,577,11023,6360271
SBCF,578,11011,6364358
BOTX,579,11002,6370158
ENZN,580,11002,6381160
MLAB,581,10992,6386352
TGA,582,10983,6392106
ENB,583,10981,6401923
GBCI,584,10976,6409984
LRCX,585,10946,6403410
IVC,586,10941,6411426
MU,587,10926,6413562
DY,588,10924,6423312
WSO,589,10922,6433058
RES,590,10919,6442210
ONB,591,10913,6449583
KELYB,592,10881,6441552
CCUR,593,10877,6450061
KF,594,10868,6455592
BMRA,595,10856,6459320
SWKS,596,10856,6470176
BKFG,597,10856,6481032
EXPD,598,10843,6484114
MGA,599,10836,6490764
NNN,600,10834,6500400
UNH,601,10828,6507628
MGRC,602,10809,6507018
PAC.L,603,10799,6511797
VGZ,604,10797,6521388
MAYS,605,10787,6526135
ICAD,606,10787,6536922
VIDE,607,10764,6533748
GOLD,608,10743,6531744
UMH,609,10738,6539442
FAME,610,10729,6544690
TCI,611,10727,6554197
UTL,612,10727,6564924
LYTS,613,10724,6573812
SFNC,614,10722,6583308
APYI,615,10705,6583575
BBY,616,10698,6589968
GROW,617,10694,6598198
CVST,618,10674,6596532
BERK,619,10660,6598540
BIG,620,10653,6604860
RADA,621,10650,6613650
NVR,622,10630,6611860
DVN,623,10630,6622490
ROST,624,10618,6625632
APNI,625,10608,6630000
HOT.L,626,10603,6637478
FULT,627,10600,6646200
IBCP,628,10599,6656172
OSK,629,10580,6654820
NMK-PB,630,10571,6659730
PEBK,631,10570,6669670
WTM,632,10565,6677080
TATT.AT,633,10564,6687012
AAAK.AT,634,10564,6697576
BIOSK.AT,635,10557,6703695
MCY,636,10545,6706620
CBU,637,10541,6714617
MNST,638,10531,6718778
EUROB.AT,639,10502,6710778
TELL.AT,640,10502,6721280
ESND,641,10502,6731782
STKL,642,10501,6741642
TPEIR.AT,643,10501,6752143
JJSF,644,10491,6756204
PLXS,645,10490,6766050
DRE,646,10489,6775894
RMCF,647,10486,6784442
HNGR,648,10478,6789744
CTC-A.TO,649,10469,6794381
ORCL,650,10465,6802250
MSFT,651,10464,6812064
TROW,652,10451,6814052
CEF,653,10450,6823850
EACO,654,10442,6829068
DMCD,655,10437,6836235
RGEN,656,10432,6843392
CA,657,10426,6849882
AHAG,658,10424,6858992
INDB,659,10421,6867439
CLDX,660,10420,6877200
HVT-A,661,10412,6882332
DLHC,662,10410,6891420
TMP,663,10407,6899841
BCPC,664,10407,6910248
NNUTU,665,10405,6919325
XOMA,666,10404,6929064
DJCO,667,10401,6937467
WERN,668,10394,6943192
SKYW,669,10390,6950910
FRPH,670,10386,6958620
HOG,671,10383,6966993
REFR,672,10383,6977376
TOL,673,10383,6987759
COST,674,10382,6997468
EEA,675,10375,7003125
BDN,676,10371,7010796
VIVO,677,10368,7019136
KBH,678,10365,7027470
CLFD,679,10362,7035798
PDEX,680,10361,7045480
GAB,681,10356,7052436
XCRA,682,10352,7060064
WTS,683,10351,7069733
INT,684,10346,7076664
FNB,685,10343,7084955
XYLEK.AT,686,10339,7092554
LAKE,687,10338,7102206
BCS,688,10338,7112544
PTSI,689,10337,7122193
AHIX,690,10328,7126320
FISV,691,10326,7135266
MRTN,692,10326,7145592
SPM.MI,693,10323,7153839
CPICQ,694,10320,7162080
KARE.AT,695,10310,7165450
FCNCA,696,10307,7173672
BKSC,697,10306,7183282
DGICB,698,10302,7190796
LEBEP.AT,699,10302,7201098
BRC,700,10300,7210000
HTLD,701,10297,7218197
UNM,702,10296,7227792
OSUR,703,10288,7232464
MFM,704,10288,7242752
RVT,705,10287,7252335
DXYN,706,10283,7259798
WSFS,707,10282,7269374
ITIC,708,10277,7276116
MKL,709,10270,7281430
WBS,710,10270,7291700
KEKR.AT,711,10270,7301970
TWN,712,10268,7310816
PCLB,713,10267,7320371
CDR,714,10267,7330638
EQC,715,10267,7340905
UHT,716,10260,7346160
DNE.L,717,10255,7352835
NHC,718,10255,7363090
FBP,719,10248,7368312
FLIC,720,10248,7378560
DNP,721,10242,7384482
PMD,722,10241,7394002
ALPHA.AT,723,10234,7399182
EMF,724,10216,7396384
TSI,725,10216,7406600
MMT,726,10211,7413186
PLAB,727,10208,7421216
CMU,728,10201,7426328
OFG,729,10196,7432884
TATT,730,10193,7440890
CFNB,731,10187,7446697
CATO,732,10178,7450296
FUN,733,10177,7459741
HQH,734,10177,7469918
FBNC,735,10172,7476420
ICCC,736,10169,7484384
AAIIQ,737,10167,7493079
WSBC,738,10166,7502508
FTDL,739,10163,7510457
MGF,740,10158,7516920
CMPD,741,10152,7522632
DXLG,742,10149,7530558
UBSI,743,10147,7539221
UNIB,744,10144,7547136
WASH,745,10144,7557280
CDNS,746,10143,7566678
TEF,747,10141,7575327
NUV,748,10138,7583224
ARINA,749,10138,7593362
PIN.L,750,10133,7599750
TJX,751,10131,7608381
CHCO,752,10131,7618512
MBI,753,10128,7626384
EBIX,754,10128,7636512
SAFM,755,10126,7645130
PCF,756,10123,7652988
FICO,757,10114,7656298
CNMD,758,10113,7665654
IEP,759,10113,7675767
CCL,760,10112,7685120
SAN,761,10108,7692188
MIDD,762,10100,7696200
XRAY,763,10099,7705537
SNFCA,764,10099,7715636
ICAGY,765,10095,7722675
NBN,766,10094,7732004
SWZ,767,10094,7742098
FAST,768,10093,7751424
HRTX,769,10089,7758441
CPF,770,10087,7766990
CRK,771,10087,7777077
ACMTA,772,10085,7785620
HARL,773,10083,7794159
ECOL,774,10076,7798824
PII,775,10074,7807350
IMKTA,776,10070,7814320
SCHW,777,10070,7824390
LEO,778,10069,7833682
JCI,779,10065,7840635
IIVI,780,10062,7848360
NCA,781,10059,7856079
NNY,782,10059,7866138
VGR,783,10058,7875414
JOUT,784,10057,7884688
EEG.AX,785,10050,7889250
SRI.AX,786,10049,7898514
CAA.AX,787,10049,7908563
GMR.AX,788,10049,7918612
REH.AX,789,10049,7928661
SIVB,790,10045,7935550
CRF,791,10038,7940058
KEY,792,10038,7950096
ATTICA.AT,793,10028,7952204
CLH,794,10025,7959850
IPU.L,795,10011,7958745
CYBE,796,10008,7966368
ESIO,797,10007,7975579
CTBI,798,10001,7980798
PPC,799,10000,7990000
GPT.AX,800,9992,7993600
WNR.AX,801,9992,8003592
AWC.AX,802,9992,8013584
CSR.AX,803,9992,8023576
KFE.AX,804,9991,8032764
ELD.AX,805,9990,8041950
TAM.AX,806,9990,8051940
JRV.AX,807,9985,8057895
MOS,808,9982,8065456
PRT.AX,809,9980,8073820
SOL.AX,810,9976,8080560
IPAR,811,9975,8089725
HLX.AX,812,9975,8099700
SHV.AX,813,9973,8108049
FAR.AX,814,9973,8118022
DX,815,9971,8126365
DGE.L,816,9971,8136336
ADX.AX,817,9971,8146307
IMD.AX,818,9968,8153824
BKW.AX,819,9968,8163792
BPMI,820,9968,8173760
NGY.AX,821,9968,8183728
AMC.AX,822,9966,8192052
EVT.AX,823,9965,8201195
PPT,824,9964,8210336
LLC.AX,825,9964,8220300
MAH.AX,826,9964,8230264
HVN.AX,827,9964,8240228
WBC.AX,828,9964,8250192
MCP.AX,829,9963,8259327
ORI.AX,830,9963,8269290
RIC.AX,831,9963,8279253
ALK.AX,832,9962,8288384
AAR.AX,833,9959,8295847
PCL.AX,834,9956,8303304
KSC.AX,835,9956,8313260
EQT.AX,836,9951,8319036
DDD,837,9950,8328150
HNG.AX,838,9950,8338100
CYG.AX,839,9950,8348050
MIN,840,9949,8357160
CVC.AX,841,9948,8366268
NTL.AX,842,9946,8374532
GIM,843,9945,8383635
GOW.AX,844,9941,8390204
OEC.AX,845,9940,8399300
CVN.AX,846,9940,8409240
SFC.AX,847,9936,8415792
RCP.L,848,9935,8424880
MTB.AX,849,9929,8429721
ATP.AX,850,9928,8438800
MARS.L,851,9927,8447877
INCH.L,852,9927,8457804
OXIG.L,853,9927,8467731
PAG.L,854,9927,8477658
HMSO.L,855,9927,8487585
BNZL.L,856,9927,8497512
HLMA.L,857,9927,8507439
SPT.L,858,9927,8517366
ABF.L,859,9927,8527293
SUS.L,860,9927,8537220
ERM.L,861,9927,8547147
HEAD.L,862,9927,8557074
HDT.L,863,9927,8567001
HRN.L,864,9927,8576928
GRI.L,865,9927,8586855
LGEN.L,866,9927,8596782
CRL.L,867,9927,8606709
CAL.L,868,9927,8616636
SBRY.L,869,9927,8626563
BIOM.L,870,9927,8636490
BWNG.L,871,9927,8646417
CAM.L,872,9927,8656344
MGAM.L,873,9927,8666271
HVTA.L,874,9927,8676198
CMH.L,875,9927,8686125
CML.L,876,9927,8696052
CRDA.L,877,9927,8705979
GLE.L,878,9927,8715906
SFR.L,879,9927,8725833
AVON.L,880,9927,8735760
CARR.L,881,9927,8745687
BISI.L,882,9927,8755614
HTG.L,883,9927,8765541
FOUR.L,884,9927,8775468
HILS.L,885,9927,8785395
CTO.L,886,9927,8795322
QRT.L,887,9927,8805249
BAG.L,888,9927,8815176
SNR.L,889,9927,8825103
SHB.L,890,9927,8835030
IMI.L,891,9927,8844957
KGF.L,892,9927,8854884
PSON.L,893,9927,8864811
SDR.L,894,9927,8874738
PTD.L,895,9927,8884665
YNGA.L,896,9927,8894592
MGGT.L,897,9927,8904519
RTO.L,898,9927,8914446
RCDO.L,899,9927,8924373
BOY.L,900,9927,8934300
TATE.L,901,9927,8944227
DLAR.L,902,9927,8954154
PTY.L,903,9927,8964081
SMDS.L,904,9927,8974008
ULVR.L,905,9927,8983935
WTB.L,906,9927,8993862
TTG.L,907,9927,9003789
PRV.L,908,9927,9013716
FLK.L,909,9927,9023643
SRP.L,910,9927,9033570
RE.L,911,9927,9043497
BARC.L,912,9927,9053424
STAN.L,913,9927,9063351
GSK.L,914,9927,9073278
RR.L,915,9927,9083205
REL.L,916,9927,9093132
TPK.L,917,9927,9103059
WEIR.L,918,9927,9112986
RNK.L,919,9927,9122913
TSCO.L,920,9927,9132840
GFRD.L,921,9927,9142767
DLN.L,922,9927,9152694
BWY.L,923,9927,9162621
CBG.L,924,9927,9172548
TW.L,925,9927,9182475
LPA.L,926,9927,9192402
ANTO.L,927,9927,9202329
NXT.L,928,9927,9212256
MACF.L,929,9927,9222183
APF.L,930,9927,9232110
MGNS.L,931,9927,9242037
PRU.L,932,9927,9251964
BA.L,933,9927,9261891
BLND.L,934,9927,9271818
MSLH.L,935,9927,9281745
AIEA.L,936,9927,9291672
PSN.L,937,9927,9301599
MTC.L,938,9927,9311526
DWHT.L,939,9927,9321453
ELM.L,940,9927,9331380
GDWN.L,941,9927,9341307
LSC.L,942,9927,9351234
NBB.L,943,9927,9361161
RNWH.L,944,9927,9371088
TOWN.L,945,9927,9381015
MKS.L,946,9927,9390942
GHT.L,947,9927,9400869
CGS.L,948,9927,9410796
CHG.L,949,9927,9420723
ALU.L,950,9927,9430650
LDSG.L,951,9927,9440577
ELCO.L,952,9927,9450504
AUK.L,953,9927,9460431
BBY.L,954,9927,9470358
GRG.L,955,9927,9480285
LOOK.L,956,9927,9490212
MPE.L,957,9927,9500139
BKG.L,958,9927,9510066
SMIN.L,959,9927,9519993
LAND.L,960,9927,9529920
RGP.L,961,9927,9539847
RAT.L,962,9927,9549774
CIN.L,963,9927,9559701
BDEV.L,964,9927,9569628
CEPS.L,965,9927,9579555
RPS.L,966,9927,9589482
SPO.L,967,9927,9599409
CRPR.L,968,9927,9609336
OCN.L,969,9927,9619263
SYNT.L,970,9927,9629190
TIDE.L,971,9927,9639117
SMJ.L,972,9927,9649044
AEP.L,973,9927,9658971
TON.L,974,9927,9668898
LFI.L,975,9927,9678825
AVG.L,976,9927,9688752
SPX.L,977,9927,9698679
CFYN.L,978,9927,9708606
LAS.L,979,9927,9718533
SN.L,980,9927,9728460
CDFF.L,981,9927,9738387
CKN.L,982,9927,9748314
GPE.L,983,9927,9758241
VCP.L,984,9927,9768168
TFW.L,985,9927,9778095
VLX.L,986,9927,9788022
RSW.L,987,9927,9797949
MTO.L,988,9927,9807876
ASY.L,989,9927,9817803
LTHM.L,990,9927,9827730
FSTA.L,991,9927,9837657
VP.L,992,9927,9847584
SGRO.L,993,9927,9857511
FSJ.L,994,9927,9867438
FDBK.L,995,9926,9876370
BP.L,996,9926,9886296
CWK.L,997,9926,9896222
SGP.AX,998,9926,9906148
JMAT.L,999,9925,9915075
IDT.AX,1000,9925,9925000
HSBA.L,1001,9925,9934925
CFX.L,1002,9925,9944850
HSM.L,1003,9925,9954775
PFG.L,1004,9923,9962692
PIM,1005,9923,9972615
HCFT.L,1006,9922,9981532
RTN.L,1007,9922,9991454
BMTO.L,1008,9920,9999360
TIGT.L,1009,9920,10009280
CTG.L,1010,9919,10018190
SVS.L,1011,9914,10023054
MGM,1012,9913,10031956
NMI,1013,9912,10040856
USM,1014,9912,10050768
